"","exp","n","r","r_conf","r_rt","r_conf_sb","r_rt_sb","r_corrected"
"1","Hainguerlot_2018",46,0.245862041689776,0.742848912650548,0.624897662238749,0.852453597392804,0.769153254092049,0.303633488268677
"2","Hainguerlot_unpub",44,0.545897080146764,0.700953265332385,0.437600086244615,0.824188741241413,0.608792515292261,0.770659933000518
"3","Maniscalco_2017_expt1",24,0.816704855470643,0.89859340315513,0.929184270755685,0.946588565684285,0.963292397560045,0.855274343201448
"4","Maniscalco_2017_expt2_1",38,0.379075059722209,0.0707061328699795,0.0721750243860005,0.132073835573268,0.134632914858902,NA
"5","Maniscalco_2017_expt2_2",39,0.505698850275363,0.572655934019053,0.477587730652866,0.728266013730776,0.646442469364368,0.737024635132
"6","Maniscalco_2017_expt2_3",37,0.225222817527316,0.602795165458556,0.690684264286091,0.752179914750489,0.817047013302321,0.287294953605316
"7","Maniscalco_2017_expt3",19,0.459694069209354,0.634341153476615,0.906213666092391,0.776265288464685,0.950799673942184,0.53508072310728
"8","Maniscalco_2017_expt4",24,0.665769439585553,0.881306673530493,0.810954441427788,0.93690910251928,0.895609986509011,0.726801246002097
"9","Massoni_2017_1",24,0.234944042557473,0.35164591177576,0.0236093042639068,0.520322532272933,0.0461295225933582,NA
"10","Massoni_2017_2",44,0.412594495123663,0.261813577446211,-0.0190645932869265,0.414979807042648,-0.0388702317328076,NA
"11","Massoni_2017_3",30,0.361518645976189,-0.235440655978639,0.14754732155669,-0.615885889878187,0.257152483013139,NA
"12","Massoni_unpub_1_1",23,0.57829296325038,0.210736810150529,0.101903842695895,0.348113327989637,0.184959592202853,NA
"13","Massoni_unpub_1_2",23,0.24602638818438,0.305019346442113,0.315624887220114,0.467455669946488,0.479809845931118,0.519489647413193
"14","Massoni_unpub_2_1",26,0.329456127107022,0.586817223176677,0.340675248767936,0.739615394395477,0.508214422666507,0.537367163654509
"15","Massoni_unpub_2_2",25,0.157232844874036,0.136012068386833,0.0440329527245211,0.239455323005456,0.0843516530960294,NA
"16","Reyes_2015",19,0.792103057635657,0.74595899152696,0.545663425532967,0.854497723196314,0.706057239265805,1
